wavelength,reflectance,standard deviation(bandwidth)
0.4128,0.02827,0.0015
0.4158,0.02911,0.0015
0.4188,0.02979,0.0015
0.4218,0.02999,0.0015
0.4248,0.03044,0.0015
0.4278,0.03057,0.0015
0.4308,0.03098,0.0015
0.4338,0.03102,0.0015
0.4368,0.0316,0.0015
0.4398,0.03124,0.0015
0.4428,0.03172,0.0015
0.4458,0.03186,0.0015
0.4488,0.03546,0.00125
0.4513,0.03559,0.001
0.4533,0.03596,0.001
0.4553,0.03635,0.001
0.4573,0.03613,0.001
0.4593,0.03647,0.001
0.4613,0.03632,0.001
0.4633,0.03631,0.001
0.4653,0.03618,0.001
0.4673,0.0363,0.001
0.4693,0.03658,0.001
0.4713,0.03658,0.001
0.4733,0.0362,0.001
0.4753,0.03652,0.001
0.4773,0.03675,0.001
0.4793,0.03654,0.001
0.4813,0.03674,0.001
0.4833,0.03667,0.001
0.4853,0.03676,0.001
0.4873,0.03697,0.001
0.4893,0.0367,0.001
0.4913,0.03695,0.001
0.4933,0.03745,0.001
0.4953,0.03788,0.001
0.4973,0.03873,0.001
0.4993,0.03907,0.001
0.5013,0.04015,0.001
0.5033,0.04115,0.001
0.5053,0.04236,0.001
0.5073,0.0441,0.001
0.5093,0.04567,0.001
0.5113,0.04828,0.001
0.5133,0.0517,0.001
0.5153,0.05426,0.001
0.5173,0.0577,0.001
0.5193,0.06193,0.001
0.5213,0.06692,0.001
0.5233,0.07082,0.001
0.5253,0.07539,0.001
0.5273,0.07925,0.001
0.5293,0.08318,0.001
0.5313,0.08602,0.001
0.5333,0.08893,0.001
0.5353,0.09068,0.001
0.5373,0.09245,0.001
0.5393,0.09386,0.001
0.5413,0.09414,0.001
0.5433,0.09483,0.001
0.5453,0.09505,0.001
0.5473,0.09606,0.001
0.5493,0.09692,0.001
0.5513,0.09729,0.001
0.5533,0.09678,0.001
0.5553,0.09696,0.001
0.5573,0.09611,0.001
0.5593,0.09494,0.001
0.5613,0.09495,0.001
0.5633,0.0928,0.001
0.5653,0.09092,0.001
0.5673,0.08798,0.001
0.5693,0.0855,0.001
0.5713,0.08197,0.001
0.5733,0.07892,0.001
0.5753,0.07642,0.001
0.5773,0.07389,0.001
0.5793,0.07287,0.001
0.5813,0.07145,0.001
0.5833,0.06841,0.001
0.5853,0.06706,0.001
0.5873,0.06766,0.001
