Satellite_Name,Band_Name,Units,Wavelength,Description
Hyperion,B008,W/m^2 SRμm,"426.8200nm, FWHM: 11.3871nm",VNIR band B8
Hyperion,B009,W/m^2 SRμm,"436.9900nm, FWHM: 11.3871nm",VNIR band B9
Hyperion,B010,W/m^2 SRμm,"447.1700nm, FWHM: 11.3871nm",VNIR band B10
Hyperion,B011,W/m^2 SRμm,"457.3400nm, FWHM: 11.3871nm",VNIR band B11
Hyperion,B012,W/m^2 SRμm,"467.5200nm, FWHM: 11.3871nm",VNIR band B12
Hyperion,B013,W/m^2 SRμm,"477.6900nm, FWHM: 11.3871nm",VNIR band B13
Hyperion,B014,W/m^2 SRμm,"487.8700nm, FWHM: 11.3784nm",VNIR band B14
Hyperion,B015,W/m^2 SRμm,"498.0400nm, FWHM: 11.3538nm",VNIR band B15
Hyperion,B016,W/m^2 SRμm,"508.2200nm, FWHM: 11.3133nm",VNIR band B16
Hyperion,B017,W/m^2 SRμm,"518.3900nm, FWHM: 11.2580nm",VNIR band B17
Hyperion,B018,W/m^2 SRμm,"528.5700nm, FWHM: 11.1907nm",VNIR band B18
Hyperion,B019,W/m^2 SRμm,"538.7400nm, FWHM: 11.1119nm",VNIR band B19
Hyperion,B020,W/m^2 SRμm,"548.9200nm, FWHM: 11.0245nm",VNIR band B20
Hyperion,B021,W/m^2 SRμm,"559.0900nm, FWHM: 10.9321nm",VNIR band B21
Hyperion,B022,W/m^2 SRμm,"569.2700nm, FWHM: 10.8368nm",VNIR band B22
Hyperion,B023,W/m^2 SRμm,"579.4500nm, FWHM: 10.7407nm",VNIR band B23
Hyperion,B024,W/m^2 SRμm,"589.6200nm, FWHM: 10.6482nm",VNIR band B24
Hyperion,B025,W/m^2 SRμm,"599.8000nm, FWHM: 10.5607nm",VNIR band B25
Hyperion,B026,W/m^2 SRμm,"609.9700nm, FWHM: 10.4823nm",VNIR band B26
Hyperion,B027,W/m^2 SRμm,"620.1500nm, FWHM: 10.4147nm",VNIR band B27
Hyperion,B028,W/m^2 SRμm,"630.3200nm, FWHM: 10.3595nm",VNIR band B28
Hyperion,B029,W/m^2 SRμm,"640.5000nm, FWHM: 10.3188nm",VNIR band B29
Hyperion,B030,W/m^2 SRμm,"650.6700nm, FWHM: 10.2942nm",VNIR band B30
Hyperion,B031,W/m^2 SRμm,"660.8500nm, FWHM: 10.2856nm",VNIR band B31
Hyperion,B032,W/m^2 SRμm,"671.0200nm, FWHM: 10.2980nm",VNIR band B32
Hyperion,B033,W/m^2 SRμm,"681.2000nm, FWHM: 10.3349nm",VNIR band B33
Hyperion,B034,W/m^2 SRμm,"691.3700nm, FWHM: 10.3909nm",VNIR band B34
Hyperion,B035,W/m^2 SRμm,"701.5500nm, FWHM: 10.4592nm",VNIR band B35
Hyperion,B036,W/m^2 SRμm,"711.7200nm, FWHM: 10.5322nm",VNIR band B36
Hyperion,B037,W/m^2 SRμm,"721.9000nm, FWHM: 10.6004nm",VNIR band B37
Hyperion,B038,W/m^2 SRμm,"732.0700nm, FWHM: 10.6562nm",VNIR band B38
Hyperion,B039,W/m^2 SRμm,"742.2500nm, FWHM: 10.6933nm",VNIR band B39
Hyperion,B040,W/m^2 SRμm,"752.4300nm, FWHM: 10.7058nm",VNIR band B40
Hyperion,B041,W/m^2 SRμm,"762.6000nm, FWHM: 10.7276nm",VNIR band B41
