Sample ID,Species,d13C,body length (mm),d15N,weight_mg,well_number
1-2-1,Pterostichus melanarius,,15.28,,2.669,D3
1-3-1,Pterostichus melanarius,,16.12,,1.878,A12
1-4-1,Pterostichus melanarius,,11.82,,1.458,B3
1-4-2,Otiorhynchus,,6.5,,1.534,C1
1-4-3,Otiorhynchus,,6.58,,2.007,D5
1-4-4,Otiorhynchus,,7.37,,1.823,C11
1-5-1,,,17.67,,1.389,E5
1-5-2,Pterostichus melanarius,,18.84,,0.717,B11
1-5-3,Otiorhynchus,,8.06,,1.266,B10
1-5-4,Pterostichus melanarius,,17.14,,0.829,E6
1-5-5,Pterostichus melanarius,,18.35,,1.682,C8
1-5-6,Otiorhynchus,,7.8,,1.717,C5
1-5-7,Otiorhynchus,,5.91,,0.868,A5
1-5-8,Otiorhynchus,,7.04,,2.407,D9
1-5-9,Otiorhynchus,,7.66,,1.282,D1
1-5-10,Otiorhynchus,,8.29,,3.28,A10
1-6-1,Otiorhynchus,,7.13,,1.623,A3
1-6-2,rolly polly,,9.2,,3.168,A1
1-6-3,Pterostichus melanarius,,18.08,,2.196,A4
1-6-4,Pterostichus melanarius,,19.41,,1.044,B5
1-6-5,Pterostichus melanarius,,19.34,,2.654,D11
1-6-6,Pterostichus melanarius,,18.29,,2.499,B12
1-6-7,Pterostichus melanarius,,17.09,,1.346,B2
1-6-8,Synuchus dubius,,11.87,,0.648,B1
1-6-9,Pterostichus melanarius,,18.58,,1.632,D7
1-6-10,Pterostichus melanarius,,17.13,,1.115,C4
1-6-11,spider,,9.37,,0.965,B9
1-6-12,ant,,11.7,,1.097,A11
1-6-13,Pterostichus melanarius,,16.57,,1.468,D6
1-6-14,Synuchus dubius,,11.82,,1.079,B7
1-6-15,Pterostichus melanarius,,16.38,,1.721,B6
1-6-16,Pterostichus melanarius,,16.42,,1.726,C6
1-6-17,Synuchus dubius,,11.94,,0.854,E4
1-6-18,Synuchus dubius,,11.34,,0.799,C3
1-6-19,Otiorhynchus,,6.86,,0.795,E3
1-6-20,Otiorhynchus,,6.03,,1.995,D4
1-7-1,millipede,,N/A,,3.539,A2
1-7-2,spider,,9.7,,1.676,C10
1-8-1,Pterostichus melanarius,,17.79,,2.428,A7
1-8-2,Carabus taedatus,,21.49,,2.403,E2
1-8-3,Synuchus dubius,,13.63,,0.939,A9
1-8-4,Pterostichus melanarius,,17.05,,2.674,C7
1-8-5,Pterostichus melanarius,,16.28,,1.243,C2
1-8-6,Pterostichus melanarius,,16.34,,2.385,A6
1-8-7,Pterostichus melanarius,,16.92,,2.81,B8
1-8-8,Pterostichus melanarius,,16.88,,1.837,E1
1-8-9,Pterostichus melanarius,,16.52,,2.136,C9
1-8-10,fly,,10.56,,0.783,C12
1-8-11,Synuchus dubius,,11.84,,1.694,D8
1-9-1,Carabus taedatus,,23.59,,2.233,D12
1-9-2,Pterostichus oregonus?,,14.23,,1.133,B4
1-9-3,Synuchus dubius,,11.35,,0.631,A8
1-9-4,Carabus taedatus,,20.52,,1.806,E7
1-9-5,Synuchus dubius,,13.14,,2.529,D2
1-9-6,Pterostichus oregonus,,13.06,,1.099,D10
,,,,,,
2-4-2,Otiorhynchus,,8.44,,0.84,F7
2-4-3,Otiorhynchus,,7.52,,1.725,E11
2-7-2,Otiorhynchus,,7.64,,1.086,F11
2-7-1,Otiorhynchus,,8.57,,1.518,E8
2-5-6,Otiorhynchus,,6.83,,0.984,F6
2-5-7,Otiorhynchus,,7.36,,1.111,E12
2-4-4,Otiorhynchus,,8.16,,0.646,E9
2-4-1,Otiorhynchus,,7.84,,1.726,E10
2-5-1,Carabus taedatus,,25.99,,1.299,A4 (tray 2)
2-9-4,Carabus taedatus,,22.06,,2.871,G2
2-3-5,Pterostichus melanarius,,18.49,,1.937,G9
2-2-1,Pterostichus melanarius,,18.91,,2.609,H11
2-8-14,Pterostichus melanarius,,16.96,,1.588,A3 (tray 2)
2-6-4,Pterostichus melanarius,,16.75,,2.243,H12
2-5-3,Pterostichus melanarius,,17.68,,2.564,A12 (tray 2)
2-6-11,Pterostichus melanarius,,16.82,,2.474,H10
2-6-5,Pterostichus melanarius,,16.69,,1.829,A5 (tray 2)
2-3-4,Pterostichus melanarius,,17.43,,2.555,A6(tray 2)
2-1-2,Pterostichus melanarius,,16.49,,2.876,H7
2-1-1,Pterostichus melanarius,,17.24,,1.215,A7(tray 2)
2-9-2,Pterostichus melanarius,,19.44,,1.818,A9 (tray 2)
2-5-4,Pterostichus melanarius,,17.35,,2.688,A8
2-5-5,Pterostichus melanarius,,15.64,,1.52,H4
2-8-13,Pterostichus melanarius,,17.35,,2.889,H5
2-8-1,Pterostichus melanarius,,18.51,,2.8,A11 (tray 2)
2-8-7,Pterostichus melanarius,,17.35,,1.332,H9
2-6-6,Pterostichus melanarius,,14.87,,1.506,A2 (tray 2)
2-8-8,Pterostichus melanarius,,18.15,,2.869,G7
2-8-11,Pterostichus melanarius,,17.3,,2.557,A1 (tray 2)
2-8-3,Pterostichus melanarius,,19.14,,,
2-1-3,Pterostichus melanarius,,18.48,,2.961,H2
2-3-2,Pterostichus melanarius,,17.15,,3.043,H3
2-6-1,Pterostichus melanarius,,14.84,,1.981,H8
2-8-6,Pterostichus melanarius,,19.03,,1.86,F4
2-6-7,Pterostichus melanarius,,19.92,,2.144,F2
2-9-3,Pterostichus melanarius,,19.04,,2.182,F9
2-3-3,Pterostichus melanarius,,16.04,,2.576,G8
2-3-1,Pterostichus melanarius,,15.73,,2.167,F8
2-8-10,Pterostichus melanarius,,17.75,,3.492,G11
2-6-2,Pterostichus melanarius,,16.72,,1.654,F5
2-6-9,Pterostichus melanarius,,15.18,,1.731,F10
2-8-4,Pterostichus melanarius,,18.26,,3.227,G3
2-8-9,Synuchus dubius,,11.99,,1.351,G10
2-9-1,Synuchus dubius,,13.77,,3.415,G1
2-6-13,Synuchus dubius,,12.18,,1.075,F12
2-8-12,Pterostichus melanarius,,17.73,,2.442,G12
2-6-8,Pterostichus melanarius,,16.87,,2.794,G6
2-5-2,Synuchus dubius,,12.79,,1.9,G5
2-8-15,Synuchus dubius,,11.57,,1.397,F1
2-8-2,Synuchus dubius,,11.87,,2.07,G4
2-8-5,Synuchus dubius,,11.4,,1.519,F3
2-6-12,,,10.78,,0.888,H1
2-6-3,,,15.4,,1.024,H6
